2025-04-12 11:35:37.082 | INFO     | utils.xiayi:set_window_pos:231 - 已设置窗口 '墨迹大侠-波浪1' (句柄: 1052144):
2025-04-12 11:35:37.083 | INFO     | utils.xiayi:set_window_pos:232 - 位置: (-6, 0)
2025-04-12 11:35:37.083 | INFO     | utils.xiayi:set_window_pos:233 - 大小: 568 x 1033
2025-04-12 11:35:37.083 | INFO     | utils.xiayi:set_window_pos:234 - 已设置为始终保持在最前端
2025-04-12 11:35:38.083 | INFO     | utils.xiayi:append_nothing_to_txt:262 - 追加文件时出错: [Errno 2] No such file or directory: 'progress/20250411.txt'
2025-04-12 11:35:38.083 | INFO     | utils.xiayi:read_txt:284 - 文件不存在: progress/20250411.txt
2025-04-12 11:41:12.470 | INFO     | utils.xiayi:set_window_pos:231 - 已设置窗口 '墨迹大侠-波浪1' (句柄: 1052144):
2025-04-12 11:41:12.470 | INFO     | utils.xiayi:set_window_pos:232 - 位置: (-6, 0)
2025-04-12 11:41:12.470 | INFO     | utils.xiayi:set_window_pos:233 - 大小: 568 x 1033
2025-04-12 11:41:12.471 | INFO     | utils.xiayi:set_window_pos:234 - 已设置为始终保持在最前端
2025-04-12 11:41:13.471 | INFO     | utils.xiayi:append_nothing_to_txt:259 - 文本已追加到: progress/20250411.txt
2025-04-12 11:41:13.472 | INFO     | utils.xiayi:read_txt:278 - 已读取文件最后一行: progress/20250411.txt
2025-04-12 11:41:14.297 | INFO     | utils.xiayi:capture_window:93 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 11:41:19.373 | INFO     | utils.xiayi:set_window_pos:231 - 已设置窗口 '墨迹大侠-波浪1' (句柄: 1052144):
2025-04-12 11:41:19.373 | INFO     | utils.xiayi:set_window_pos:232 - 位置: (-6, 0)
2025-04-12 11:41:19.373 | INFO     | utils.xiayi:set_window_pos:233 - 大小: 568 x 1033
2025-04-12 11:41:19.373 | INFO     | utils.xiayi:set_window_pos:234 - 已设置为始终保持在最前端
2025-04-12 11:41:20.374 | INFO     | utils.xiayi:append_nothing_to_txt:259 - 文本已追加到: progress/20250411.txt
2025-04-12 11:41:20.374 | INFO     | utils.xiayi:read_txt:278 - 已读取文件最后一行: progress/20250411.txt
2025-04-12 11:41:21.183 | INFO     | utils.xiayi:capture_window:93 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 11:41:26.235 | INFO     | utils.xiayi:set_window_pos:231 - 已设置窗口 '墨迹大侠-波浪1' (句柄: 1052144):
2025-04-12 11:41:26.236 | INFO     | utils.xiayi:set_window_pos:232 - 位置: (-6, 0)
2025-04-12 11:41:26.236 | INFO     | utils.xiayi:set_window_pos:233 - 大小: 568 x 1033
2025-04-12 11:41:26.236 | INFO     | utils.xiayi:set_window_pos:234 - 已设置为始终保持在最前端
2025-04-12 11:41:27.237 | INFO     | utils.xiayi:append_nothing_to_txt:259 - 文本已追加到: progress/20250411.txt
2025-04-12 11:41:27.237 | INFO     | utils.xiayi:read_txt:278 - 已读取文件最后一行: progress/20250411.txt
2025-04-12 11:41:28.049 | INFO     | utils.xiayi:capture_window:93 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 11:59:27.564 | INFO     | utils.xiayi:set_window_pos:232 - 已设置窗口 '墨迹大侠-波浪1' (句柄: 1052144):
2025-04-12 11:59:27.565 | INFO     | utils.xiayi:set_window_pos:233 - 位置: (-6, 0)
2025-04-12 11:59:27.565 | INFO     | utils.xiayi:set_window_pos:234 - 大小: 568 x 1033
2025-04-12 11:59:27.565 | INFO     | utils.xiayi:set_window_pos:235 - 已设置为始终保持在最前端
2025-04-12 11:59:28.566 | INFO     | utils.xiayi:append_nothing_to_txt:260 - 文本已追加到: progress/20250411.txt
2025-04-12 11:59:28.566 | INFO     | utils.xiayi:read_txt:279 - 已读取文件最后一行: progress/20250411.txt
2025-04-12 11:59:29.392 | INFO     | utils.xiayi:capture_window:94 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 12:05:52.015 | INFO     | utils.xiayi:set_window_pos:221 - 已恢复最小化窗口
2025-04-12 12:05:52.135 | INFO     | utils.xiayi:set_window_pos:240 - 已设置窗口 '墨迹大侠-波浪1' (句柄: 1052144):
2025-04-12 12:05:52.135 | INFO     | utils.xiayi:set_window_pos:241 - 位置: (-6, 0)
2025-04-12 12:05:52.135 | INFO     | utils.xiayi:set_window_pos:242 - 大小: 568 x 1033
2025-04-12 12:05:52.135 | INFO     | utils.xiayi:set_window_pos:243 - 已设置为始终保持在最前端
2025-04-12 12:05:53.136 | INFO     | utils.xiayi:append_nothing_to_txt:268 - 文本已追加到: progress/20250411.txt
2025-04-12 12:05:53.136 | INFO     | utils.xiayi:read_txt:287 - 已读取文件最后一行: progress/20250411.txt
2025-04-12 12:05:53.942 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 12:05:59.007 | INFO     | utils.xiayi:set_window_pos:240 - 已设置窗口 '墨迹大侠-波浪1' (句柄: 1052144):
2025-04-12 12:05:59.007 | INFO     | utils.xiayi:set_window_pos:241 - 位置: (-6, 0)
2025-04-12 12:05:59.007 | INFO     | utils.xiayi:set_window_pos:242 - 大小: 568 x 1033
2025-04-12 12:05:59.007 | INFO     | utils.xiayi:set_window_pos:243 - 已设置为始终保持在最前端
2025-04-12 12:06:00.008 | INFO     | utils.xiayi:append_nothing_to_txt:268 - 文本已追加到: progress/20250411.txt
2025-04-12 12:06:00.008 | INFO     | utils.xiayi:read_txt:287 - 已读取文件最后一行: progress/20250411.txt
2025-04-12 12:06:00.825 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 12:06:05.877 | INFO     | utils.xiayi:set_window_pos:240 - 已设置窗口 '墨迹大侠-波浪1' (句柄: 1052144):
2025-04-12 12:06:05.877 | INFO     | utils.xiayi:set_window_pos:241 - 位置: (-6, 0)
2025-04-12 12:06:05.877 | INFO     | utils.xiayi:set_window_pos:242 - 大小: 568 x 1033
2025-04-12 12:06:05.877 | INFO     | utils.xiayi:set_window_pos:243 - 已设置为始终保持在最前端
2025-04-12 12:06:06.878 | INFO     | utils.xiayi:append_nothing_to_txt:268 - 文本已追加到: progress/20250411.txt
2025-04-12 12:06:06.878 | INFO     | utils.xiayi:read_txt:287 - 已读取文件最后一行: progress/20250411.txt
2025-04-12 12:06:07.691 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 12:06:12.742 | INFO     | utils.xiayi:set_window_pos:240 - 已设置窗口 '墨迹大侠-波浪1' (句柄: 1052144):
2025-04-12 12:06:12.743 | INFO     | utils.xiayi:set_window_pos:241 - 位置: (-6, 0)
2025-04-12 12:06:12.743 | INFO     | utils.xiayi:set_window_pos:242 - 大小: 568 x 1033
2025-04-12 12:06:12.743 | INFO     | utils.xiayi:set_window_pos:243 - 已设置为始终保持在最前端
2025-04-12 12:06:13.743 | INFO     | utils.xiayi:append_nothing_to_txt:268 - 文本已追加到: progress/20250411.txt
2025-04-12 12:06:13.743 | INFO     | utils.xiayi:read_txt:287 - 已读取文件最后一行: progress/20250411.txt
2025-04-12 12:06:14.558 | INFO     | utils.xiayi:capture_window:102 - 截图区域: (114, 700) -> (489, 869)
2025-04-12 12:06:19.593 | INFO     | utils.xiayi:set_window_pos:240 - 已设置窗口 '墨迹大侠-波浪1' (句柄: 1052144):
2025-04-12 12:06:19.593 | INFO     | utils.xiayi:set_window_pos:241 - 位置: (-6, 0)
