2025-04-11 10:53:50.322 | DEBUG    | __main__:main:312 - 这是调试信息
2025-04-11 10:53:50.322 | INFO     | __main__:main:313 - 这是普通信息
2025-04-11 10:53:50.323 | WARNING  | __main__:main:314 - 这是警告信息
2025-04-11 10:53:50.323 | ERROR    | __main__:main:315 - 这是错误信息
2025-04-11 10:53:50.323 | CRITICAL | __main__:main:316 - 这是严重错误
2025-04-11 10:54:09.416 | DEBUG    | __main__:main:312 - 这是调试信息
2025-04-11 10:54:09.416 | INFO     | __main__:main:313 - 这是普通信息
2025-04-11 10:54:09.416 | WARNING  | __main__:main:314 - 这是警告信息
2025-04-11 10:54:09.416 | ERROR    | __main__:main:315 - 这是错误信息
2025-04-11 10:54:09.416 | CRITICAL | __main__:main:316 - 这是严重错误
2025-04-11 10:56:25.821 | DEBUG    | __main__:main:312 - 这是调试信息
2025-04-11 10:56:25.821 | INFO     | __main__:main:313 - 这是普通信息
2025-04-11 10:56:25.821 | WARNING  | __main__:main:314 - 这是警告信息
2025-04-11 10:56:25.821 | ERROR    | __main__:main:315 - 这是错误信息
2025-04-11 10:56:25.821 | CRITICAL | __main__:main:316 - 这是严重错误
2025-04-11 18:58:11.346 | INFO     | __main__:recognize_text_paddleocr:130 - 文字识别用时：
2025-04-11 18:58:46.211 | INFO     | __main__:recognize_text_paddleocr:130 - 文字识别用时：
2025-04-11 18:58:46.211 | INFO     | __main__:recognize_text_paddleocr:132 - [[[[[246.0, 12.0], [307.0, 12.0], [307.0, 30.0], [246.0, 30.0]], ('墨迹大侠', 0.9969898462295532)], [[[513.0, 20.0], [523.0, 11.0], [534.0, 21.0], [524.0, 31.0]], ('O', 0.5305259823799133)], [[[8.0, 124.0], [40.0, 124.0], [40.0, 140.0], [8.0, 140.0]], ('252', 0.9986267685890198)], [[[180.0, 121.0], [251.0, 121.0], [251.0, 143.0], [180.0, 143.0]], ('625/50', 0.9989141821861267)], [[[312.0, 123.0], [392.0, 123.0], [392.0, 141.0], [312.0, 141.0]], ('33552W', 0.9992144703865051)], [[[461.0, 124.0], [514.0, 124.0], [514.0, 140.0], [461.0, 140.0]], ('14465', 0.9747440218925476)], [[[86.0, 167.0], [149.0, 167.0], [149.0, 193.0], [86.0, 193.0]], ('王把头', 0.9976406693458557)], [[[88.0, 192.0], [201.0, 194.0], [201.0, 216.0], [87.0, 213.0]], ('1748.7万', 0.997703492641449)], [[[229.0, 237.0], [481.0, 235.0], [481.0, 254.0], [229.0, 256.0]], ('雨落楚城在本次荒兽入侵活动中以9', 0.9634650945663452)], [[[25.0, 281.0], [57.0, 281.0], [57.0, 298.0], [25.0, 298.0]], ('活动', 0.9989525079727173)], [[[470.0, 300.0], [545.0, 300.0], [545.0, 319.0], [470.0, 319.0]], ('小黄鸭大侠', 0.9988029599189758)], [[[217.0, 317.0], [266.0, 317.0], [266.0, 346.0], [217.0, 346.0]], ('普通', 0.9957262277603149)], [[[285.0, 316.0], [337.0, 316.0], [337.0, 346.0], [285.0, 346.0]], ('精英', 0.9991416335105896)], [[[475.0, 356.0], [541.0, 359.0], [541.0, 377.0], [474.0, 375.0]], ('福利中心', 0.9997828006744385)], [[[6.0, 411.0], [73.0, 411.0], [73.0, 433.0], [6.0, 433.0]], ('鸭鸭矿工', 0.9965017437934875)], [[[474.0, 425.0], [540.0, 425.0], [540.0, 443.0], [474.0, 443.0]], ('江湖助手', 0.9993723630905151)], [[[8.0, 478.0], [75.0, 478.0], [75.0, 498.0], [8.0, 498.0]], ('消费狂欢', 0.9985594749450684)], [[[6.0, 609.0], [72.0, 609.0], [72.0, 631.0], [6.0, 631.0]], ('签约好礼', 0.9948664903640747)], [[[234.0, 778.0], [318.0, 778.0], [318.0, 823.0], [234.0, 823.0]], ('挑战', 0.9920862317085266)], [[[493.0, 788.0], [520.0, 788.0], [520.0, 798.0], [493.0, 798.0]], ('天', 0.6164465546607971)], [[[267.0, 824.0], [301.0, 824.0], [301.0, 846.0], [267.0, 846.0]], ('×5', 0.7797951698303223)], [[[444.0, 821.0], [496.0, 821.0], [496.0, 837.0], [444.0, 837.0]], ('剩余3天', 0.9981756210327148)], [[[57.0, 898.0], [500.0, 898.0], [500.0, 919.0], [57.0, 919.0]], ('【世界】李子：拼不成团，如数退还，还能算累消里边', 0.9892280697822571)], [[[15.0, 993.0], [65.0, 993.0], [65.0, 1018.0], [15.0, 1018.0]], ('江湖', 0.9986112117767334)], [[[93.0, 993.0], [145.0, 993.0], [145.0, 1016.0], [93.0, 1016.0]], ('坊市', 0.996826708316803)], [[[167.0, 993.0], [222.0, 993.0], [222.0, 1016.0], [167.0, 1016.0]], ('大侠', 0.998838484287262)], [[[247.0, 991.0], [306.0, 991.0], [306.0, 1020.0], [247.0, 1020.0]], ('挑战', 0.9723570346832275)], [[[328.0, 991.0], [382.0, 991.0], [382.0, 1019.0], [328.0, 1019.0]], ('武学', 0.998786211013794)], [[[405.0, 993.0], [459.0, 993.0], [459.0, 1018.0], [405.0, 1018.0]], ('门派', 0.998355507850647)], [[[486.0, 993.0], [538.0, 993.0], [538.0, 1018.0], [486.0, 1018.0]], ('玩法', 0.9986519813537598)]]]
2025-04-11 18:59:10.472 | INFO     | __main__:recognize_text_paddleocr:130 - 文字识别用时：
